NOV,lower,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18, 
lower,upper,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,total
0.0,0.5,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0
0.5,1.0,0,0.0,0.1,0.1,0.3,0.6,0.6,0.5,0.6,0.3,0.3,0.2,0.1,0.0,0,0,0.0,0,3.8
1.0,1.5,0,0,0.1,0.9,0.7,0.9,0.7,1.5,1.5,0.9,0.7,0.5,0.2,0.1,0,0.0,0,0,8.8
1.5,2.0,0,0,0,0.6,1.3,1.2,1.1,1.7,1.5,1.6,1.3,1.1,0.5,0.1,0,0.0,0,0,11.9
2.0,2.5,0,0,0,0.1,1.2,1.6,0.6,1.8,2.6,2.2,1.5,1.0,0.5,0.2,0,0.0,0,0,13.2
2.5,3.0,0,0,0,0,0.3,2.4,0.8,1.4,2.4,2.6,2.2,1.0,0.4,0.1,0,0.0,0,0,13.6
3.0,3.5,0,0,0,0,0.1,1.2,1.2,1.3,1.8,2.9,2.5,1.4,0.4,0.2,0,0.0,0,0,13.0
3.5,4.0,0,0,0,0,0,0.3,0.7,1.3,1.5,2.3,2.4,1.1,0.4,0.1,0,0.0,0,0,10.2
4.0,4.5,0,0,0,0,0,0.1,0.4,0.9,0.9,1.8,2.2,1.3,0.4,0.1,0,0,0.0,0,8.0
4.5,5.0,0,0,0,0,0,0.0,0.3,0.6,0.9,1.1,1.5,1.1,0.3,0.1,0,0.0,0,0,6.0
5.0,5.5,0,0,0,0,0,0,0.0,0.1,0.5,0.7,0.9,1.1,0.2,0.2,0,0.0,0,0,3.8
5.5,6.0,0,0,0,0,0,0,0,0.1,0.2,0.4,0.6,0.7,0.3,0.1,0,0.0,0,0,2.4
6.0,6.5,0,0,0,0,0,0,0,0,0.0,0.1,0.4,0.7,0.2,0.0,0,0.1,0,0,1.6
6.5,7.0,0,0,0,0,0,0,0,0,0,0,0.2,0.5,0.2,0.1,0,0.0,0,0,1.0
7.0,7.5,0,0,0,0,0,0,0,0,0,0.0,0.1,0.5,0.3,0.1,0,0,0,0,1.0
7.5,8.0,0,0,0,0,0,0,0,0,0,0,0.0,0.2,0.2,0.1,0,0,0,0,0.5
8.0,8.5,0,0,0,0,0,0,0,0,0,0,0.0,0.1,0.2,0.0,0,0,0,0,0.3
8.5,9.0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.0,0,0.1,0,0,0.3
9.0,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.0,0,0,0,0,0.2
9.5,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.1
10.0,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0,0,0,0,0.1
10.5,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1
11.0,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
,total,0.0,0.0,0.2,1.7,3.9,8.4,6.5,11.2,14.3,16.9,16.9,12.7,5.4,1.7,0.0,0.3,0.0,0.0,100.0
